title,class,league
Mitsubishi Lancer Evolution,D,青铜
BMW Z4 LCI E89,D,青铜
Chevrolet Camaro LT,D,青铜
Nissan 370Z Nismo,D,青铜
Dodge Challenger SRT8,D,青铜
KTM X-Bow GTX,D,青铜
Volkswagen XL Sport Concept,D,青铜
BMW 3.0 CSL Hommage,D,青铜
Chevrolet Camaro ZL1 50th Edition,D,青铜
DS Automobiles DS E-Tense,D,青铜
Porsche Boxster 25th,D,青铜
Nissan Leaf Nismo RC,D,青铜
BMW i8 Roadster,D,青铜
Lotus Evora Sport 410,C,白银
Dodge Challenger 392 Hemi Scat Pack,C,青铜
Porsche 911 GTS Coupe,C,白银
ItalDesign Davinci,D,青铜
Renault Dezir,D,青铜
Mercedes-Benz AMG GT S,C,白银
Peugeot SR1,D,青铜
Aston Martin DB11,C,白银
Porsche 718 Cayman,C,青铜
Lotus Elise Sprint 220,C,青铜
Infiniti Project Black S,D,青铜
Lotus Emeya,D,青铜
Porsche 911 Carrera RS 3.8,D,青铜
BMW M4 GTS,C,白金
Jaguar F-Type SVR,C,白银
Ford Shelby GT350R,C,青铜
Hyundai IONIQ 5 N,D,青铜
Porsche 911 Targa 4S,C,青铜
Lotus Emira,D,青铜
Lamborghini Countach 25th Anniversary,D,青铜
Praga R1,D,青铜
Honda Civic Type-R,C,青铜
Ginetta G60,D,青铜
Exotic Rides W70,B,白银
Rezvani Beast X,C,白银
TVR Griffith,C,青铜
Ford Shelby GR-1,C,白银
Renault TREZOR,C,白银
Jaguar XKR-S GT,C,白银
Porsche Taycan Turbo S,C,白银
Aston Martin V12 Spedster,C,白银
Bentley Continental GT3,C,青铜
Citroën DS Survolt,C,白银
Ford GT,B,白银
Dodge Viper ACR,B,白银
Chevrolet Corvette C7.R,C,青铜
Ferrari F50,C,白银
Glickenhaus 004C,D,青铜
Bolwell MK X Nagari 500,C,白银
Alfa Romeo Giulia GTAm,D,青铜
Toyota GR Supra Racing Concept,D,青铜
Lamborghini Asterion,B,黄金
Donkervoort D8 GTO Individual Series,C,白银
Aston Martin Vulcan,B,黄金
Ford Mustang RTR Spec 5 10th Anniv.,B,白银
Pininfarina H2 Speed,B,黄金
Porsche 911 GT1 Evolution,B,黄金
Ferrari Roma,B,白银
Volkswagen Electric R,C,青铜
Mercedes-Benz CLK-GTR,C,黄金
Artega Scalo Superelletra,B,黄金
Ford Mustang Mach-E1400,D,青铜
Maserati MC12,C,黄金
Kimera EVO37,D,青铜
Arash AF10,C,白银
Nissan 370Z Nismo Neon Edition,C,白银
Nissan GT-R Nismo,B,白金
Saleen S1,C,白银
Cadillac Cien Concept,B,白银
Aston Martin Valour,B,白银
Ford GT MK II,B,白金
Acura 2017 NSX,B,黄金
Maserati Alfieri,B,白银
Porsche 911 50 Years Porsche Design,C,白银
Ferrari J50,B,黄金
Porsche Mission R,C,白银
Lamborghini Huracan STO,B,白银
Jaguar XJR-15,C,黄金
TVR Sagaris,C,白银
Lamborghini Huracan Super Trofeo EVO,B,白银
Toyota GR Supra 2023,C,黄金
McLaren Artura,B,黄金
Mercedes-Benz 2022 Showcar Vision AMG,C,白银
Arash AF8 Falcon Edition,C,黄金
Jaguar XE SV Project 8,C,白银
Vencer Sarthe,B,黄金
Dodge Viper GTS,B,黄金
ItalDesign Zerouno,B,黄金
Bentley Continental GT Speed,B,白金
Ferrari 488 GTB,B,黄金
Ferrari Monza SP1,C,白银
Bentley Mulliner Bacalar,B,白银
Ferrari F40,B,黄金
Ares S1,C,黄金
ATS Automobili Corsa RRTurbo,B,黄金
Mercedes-Benz SLR McLaren,B,白金
Kepler Motion,B,黄金
Porsche Panamera Turbo S,C,黄金
Mazda Furai,B,青铜
Porsche 718 Cayman GT4 Clubsport,B,黄金
Aston Martin DBS Superleggera,B,白金
DS Automobiles DS E-Tense Performance,C,黄金
McLaren GT,B,黄金
Ferrari 599XX EVO,B,黄金
Drako GTE,B,黄金
Ferrari LaFerrari,A,白金
Brabham BT62,B,白金
Porsche 911 Turbo 50 Years,B,黄金
Mercedes-Benz Mercedes-AMG GT Black Series,C,白银
Dodge Charger SRT Hellcat Redeye Widebody,C,黄金
LEGO Technic Ferrari FXX K,A,白金
McLaren Elva,B,黄金
Glickenhaus 003S,A,白金
Porsche 911 GT3 R Rennsport,C,黄金
Apollo N,A,翡翠
Praga Bohema,C,黄金
Renault R.S. 01,B,白银
Aston Martin DB12,B,黄金
Acura NSX GT3 EVO,B,黄金
McLaren P1™,A,翡翠
Lexus LFA Nurburgring Package,C,黄金
Nissan R390 GT1,B,白金
LEGO Technic Chevrolet Corvette Stingray,B,白金
McLaren 765LT,B,白金
BMW M4 GT3,B,黄金
Pagani Zonda HP Barchetta,A,白金
Lamborghini Miura Concept,B,白银
Lamborghini Centenario,A,翡翠
Ferrari F12tdf,A,白金
Lamborghini Gallardo LP560-4,A,黄金
Lamborghini Aventador SV Coupe,A,翡翠
Bugatti EB110,B,黄金
Aston Martin One77,B,白金
Maserati MC20,B,白金
Mercedes-Benz C 63 AMG DTM,C,黄金
Chevrolet Corvette Stingray,B,黄金
Ferrari FXX K,A,翡翠
Maserati MC20 GT2,C,白银
LEGO Technic McLaren Senna GTR,A,翡翠
Lamborghini Diablo GT,B,黄金
Lamborghini Autentica,A,白金
LEGO Technic BMW M4 GT3 EVO,B,黄金
Jaguar C-X75,A,钻石
Chevrolet Corvette Grand Sport,A,白金
Arrinera Hussarya 33,A,黄金
LEGO Technic Aston Martin Valkyrie,A,翡翠
Apex AP-0,A,翡翠
Aston Martin DBS 770 Ultimate,C,黄金
Lamborghini Murcielago LP640 Roadster,A,翡翠
VLF Force 1 V10,A,白金
De Tomaso P900,C,黄金
Ferrari 812 Superfast,A,白金
Apollo IE,A,白金
Sin R1 550,A,白金
Ferrari F12 Berlinetta,B,白金
Icona Vulcano Titanium,S,钻石
Aston Martin Vantage GT12,A,白金
Lamborghini Reventon Roadster,B,白金
Lamborghini Huracan Sterrato,C,黄金
McLaren 750S Coupe,B,白金
Lamborghini Aventador J,A,钻石
McMurtry Spéirling,A,翡翠
Ferrari 296 GTB,C,黄金
Porsche Carrera GT,A,白金
Ferrari Enzo Ferrari,A,白金
Porsche 911 GT3 RS,A,钻石
Formula E Gen 2 Asphalt Edition,B,黄金
Techrules AT96 Track Version,A,钻石
McLaren Senna GTR,A,翡翠
Peugeot Onyx,A,钻石
Chevrolet Corvette ZR1,A,翡翠
Lamborghini Essenza SCV12,A,白金
BMW M Hybrid V8,B,翡翠
Puritalia Berlinetta,A,白金
Lamborghini SC63,B,白金
Aston Martin V12 Vantage 2022,B,翡翠
Ferrari Daytona SP3,C,白银
McLaren 600LT Spider,B,翡翠
McLaren Solus GT,B,翡翠
Toyota GR Super Sport Concept,B,白金
Mercedes-Benz Biome 2010,A,钻石
Lamborghini SC18,A,翡翠
Lamborghini Aventador SVJ Roadster,A,翡翠
Formula E Gen 3 EVO Championship Edition,A,钻石
W Motors Lykan Hypersport,S,精英
Lamborghini Invencible,B,白金
Ford GT CNY Edition,A,白金
Raesr Tachyon Speed,A,翡翠
Ferrari 488 Challenge EVO,A,白金
Nissan Z GT4,C,黄金
Citroën GT by Citroën,A,白金
Pagani Zonda Cinque,A,翡翠
Lamborghini Huracan EVO Spyder,B,翡翠
Aston Martin DBS GT Zagato,A,钻石
Chevrolet Corvette Grand Sport Halloween Edition,A,钻石
Porsche 918 Spyder,S,翡翠
Vanda Electrics Dendrobium,S,精英
Automobili Pininfarina Battista Edizione Nino Farina,A,翡翠
FV Frangivento GT65,B,白金
Nissan GTR-50 Italdesign,A,钻石
McLaren 570S Spider,S,钻石
Lamborghini Veneno,S,钻石
ATS Automobili GT,S,翡翠
Pagani Zonda R,A,白金
Peugeot 9X8,A,钻石
McLaren Sabre,A,翡翠
Jaguar XJ220S TWR,S,钻石
Lamborghini Sesto Elemento,B,翡翠
Glickenhaus 007S,A,钻石
Nissan GT-R Neon Edition,A,钻石
Lamborghini Egoista,S,钻石
Porsche 935(2019),A,钻石
Chrysler ME412,S,精英
Aston Martin Victor,A,钻石
Porsche 918 Spyder Asphalt Edition,S,精英
Pagani Huayra R,A,翡翠
Ford GT MK IV,B,翡翠
LEGO Technic Lamborghini Revuelto,B,翡翠
Apollo EVO,B,翡翠
McLaren 650S GT3,A,钻石
Ferrari SF90 XX Stradale,A,钻石
Porsche 911 GT2 RS Clubsport,S,钻石
Pagani Huayra BC,S,钻石
Ferrari LaFerrari Aperta,S,钻石
Ferrari 12 Cilindri,B,翡翠
McLaren F1LM,S,钻石
Zenvo TSR-S,S,钻石
神秘组织 拦路虎,A,白金
Lotus E-R9,B,翡翠
Pagani Utopia Coupe,A,钻石
Ferrari F8 Tributo,S,精英
Genty Akylone,S,钻石
Lamborghini SC20,S,钻石
Volkswagen W12 Coupe,S,钻石
Trion Nemesis,S,宗师
Ford Shelby Super Snake,A,钻石
Lamborghini Temerario,A,钻石
Lamborghini Revuelto,B,翡翠
FV Frangivento Asfane,A,钻石
Spania GTA 2015 GTA Spano,S,钻石
Ares Panther,B,翡翠
Zenvo Aurora Agil,A,钻石
FV Frangivento Sorpasso GT3,S,钻石
Lamborghini Terzo Millennio,S,钻石
McLaren Senna,S,精英
Bugatti Veyron 16.4 Grand Sport Vitesse,S,精英
Lotus Evija,S,翡翠
Jaguar XJR-9,A,钻石
Vision 1789,S,钻石
Noble M600 Speedster,A,钻石
Pininfarina Teorema,S,精英
W Motors Fenyr Supersport,S,钻石
Aston Martin Valkyrie,S,精英
Rimac Concept_One,S,钻石
Nio EP9 Anniversary Special Edition,A,钻石
Mercedes-Benz C11,S,精英
Aston Martin Valhalla Concept Car,A,钻石
Zenvo TS1 GT Anniversary,S,精英
Rimac Concept S,S,精英
Ferrari SF90 Stradale,S,精英
Automobili Pininfarina Battista,S,精英
Techrules AT96 Dragon Boat Edition,S,精英
Naran Hyper Coupe,S,精英
Pagani Imola,S,精英
Lexus Electrified Sport Concept,A,钻石
Lamborghini Countach LPI 800-4,S,精英
Mercedes-Benz Mercedes-AMG One,A,钻石
Nio EP9,S,精英
Ferrari 499P Modificata,A,钻石
Arash Imperium,S,精英
Hyundai N Vision 74,S,精英
De Tomaso P72,A,钻石
McLaren Speedtail,S,宗师
Mercedes-Benz Vision One-Eleven,A,钻石
Faraday Future FFZERO1,S,精英
Automobili Pininfarina B95,A,钻石
Bugatti Divo,S,精英
Koenigsegg Regera,S,宗师
Porsche GT3 RS 2023,S,精英
Porsche 919 Street,A,钻石
Saleen S7 Twin Turbo,S,精英
W Motors Lykan Hypersport Neon Edition,S,精英
Pagani Codalunga,S,精英
Ultima RS,S,宗师
W Motors Fenyr Supersport CNY Edition,S,精英
Zenvo TSR-S Dragonboat Edition,S,精英
Ford Mustang RTR Spec 5-FD,S,精英
Ajlani Drakuma,S,精英
Ford Team Fordzilla P1,S,精英
SSC Ultimate Aero TT,S,宗师
Inferno Automobili Inferno,S,宗师
Torino Design Super Sport,S,精英
Bugatti Chiron,S,传奇
BXR Bailey Blade GT1,S,宗师
LEGO Technic Bugatti Chiron Pur Sport,S,精英
Tushek TS 900 Racer Pro,S,精英
Mazzanti Evantra Millecavalli,S,宗师
Porsche 917 Living Legend,S,精英
Toroidion 1MW,S,宗师
Bugatti Chiron Pur Sport,S,精英
Koenigsegg Jesko,S,传奇
Bugatti Centodieci,S,宗师
Lamborghini Sián FKP 37,S,精英
Aspark Owl,S,宗师
Icona Vulcano Spyder,S,宗师
Raesr Aglaia,S,宗师
Rimac Nevera,S,宗师
SSC Tuatara,S,传奇
Koenigsegg Agera RS,S,传奇
HTT Locus Plethore LC750,S,精英
Hennessey Venom GT,S,宗师
Koenigsegg CCXR,S,宗师
Nilu27 Nilu,S,宗师
Ferrante Design Elytron,S,宗师
Bugatti LA Voiture Noire,S,宗师
Koenigsegg One:1,S,宗师
Deus Vayanne,S,宗师
Koenigsegg Gemera,S,宗师
Bugatti Mistral,S,宗师
Zenvo Aurora Tur,S,传奇
Hennessey Venom F5,S,传奇
Koenigsegg CC850,S,传奇
Czinger 21C,S,宗师
Mosler Super GT,S,传奇
Devel Sixteen,R,传奇
SSC Tuatara Striker,R,传奇
Mercedes-Benz Silver Lightning,R,传奇
Raesr Tartarus,S,宗师
Bugatti Bolide,R,传奇
Bugatti Chiron Super Sport 300+,R,传奇
Rimac Nevera R,R,传奇
Hennessey Venom F5 Revolution,R,传奇
Koenigsegg Jesko Absolut,R,传奇
Bugatti Tourbillon,R,传奇
