title,score,class,league,max_speed,acceleration,handling,nitro,nitro_speed,air_speed,radius,drift,stars_symbol,bp_values,bp_total,key_car
Mitsubishi Lancer Evolution,1381,D,青铜,270.1,55.03,53.79,68.19,282,363,88.734,172,★★★,"5,8,30",43,FALSE
BMW Z4 LCI E89,1476,D,青铜,266.8,68.86,47.43,57.49,278,359,99.982,159,★★★,"5,8,45",58,FALSE
Chevrolet Camaro LT,1546,D,青铜,284.1,64.81,48.39,63.29,296,380,90.88,166,★★★,"5,12,30",47,FALSE
Nissan 370Z Nismo,1662,D,青铜,268.5,66.61,81.83,67.07,280,361,51.875,223,★★★,"10,12,30",52,FALSE
Dodge Challenger SRT8,1683,D,青铜,308.4,71.92,37.98,45.41,321,410,100.789,153,★★★,"15,20,30",65,FALSE
KTM X-Bow GTX,1738,D,青铜,247.5,83.84,64.99,66.99,274,350,76.647,187,★★★,"20,25,30",75,FALSE
Volkswagen XL Sport Concept,1814,D,青铜,291.2,60.31,62.02,61.94,303,389,67.233,192,★★★,"15,20,30",65,FALSE
BMW 3.0 CSL Hommage,1827,D,青铜,297.5,73.39,50.08,51.2,310,396,87.719,172,★★★,"20,20,30",70,FALSE
Chevrolet Camaro ZL1 50th Edition,1971,D,青铜,272.1,78.14,83.14,72.33,284,365,47.351,226,★★★,"20,20,30",70,FALSE
DS Automobiles DS E-Tense,1976,D,青铜,270.1,76.07,81.27,72.3,282,363,50.453,222,★★★,"20,25,30",75,FALSE
Porsche Boxster 25th,1985,D,青铜,298.7,72.12,46.1,54.35,311,398,87.862,165,★★★★,"20,30,41,45",136,FALSE
Nissan Leaf Nismo RC,2101,D,青铜,250.6,78.87,59.91,65.03,284,361,70.809,196,★★★★,"30,12,18,28",88,FALSE
BMW i8 Roadster,2122,D,青铜,273.1,79.73,78.63,66.87,294,375,52.798,216,★★★★,"20,30,41,45",136,FALSE
Lotus Evora Sport 410,2123,C,白银,317.7,71.7,50.92,47.05,331,422,73.61,179,★★★,"20,30,50",100,FALSE
Dodge Challenger 392 Hemi Scat Pack,2152,C,青铜,302.7,73.64,43.57,62.82,315,403,92.368,162,★★★,"20,30,50",100,FALSE
Porsche 911 GTS Coupe,2185,C,白银,328.7,71.21,45.84,56.6,342,441,73.402,173,★★★,"25,30,50",105,FALSE
ItalDesign Davinci,2210,D,青铜,278,83.52,73.57,55.34,290,372,56.633,210,★★★★,"20,30,41,45",136,FALSE
Renault Dezir,2213,D,青铜,293.2,65.56,69.43,68.44,306,391,,,★★★★,"25,32,40,48",145,FALSE
Mercedes-Benz AMG GT S,2281,C,白银,329.4,71.34,42.69,54.66,343,442,83.976,167,★★★,"25,30,50",105,FALSE
Peugeot SR1,2307,D,青铜,310.5,71.51,52.39,31.19,323,412,79.445,180,★★★★,"25,32,40,48",145,FALSE
Aston Martin DB11,2330,C,白银,340.4,74.2,43.21,55.4,354,462,80.731,171,★★★,"25,30,50",105,FALSE
Porsche 718 Cayman,2344,C,青铜,295.6,70.52,61.9,60.28,308,394,64.079,193,★★★★,"25,18,21,32",96,FALSE
Lotus Elise Sprint 220,2363,C,青铜,269.5,82.25,83.47,72.71,282,363,49.07,225,★★★★,"25,18,21,32",96,FALSE
Infiniti Project Black S,2371,D,青铜,281.5,76.19,66.98,64.67,293,377,64.591,199,★★★★,"30,23,33,42",128,FALSE
Lotus Emeya,2402,D,Bronze,276.5,81.79,75.33,67.23,288,371,54.014,213,★★★★,"?,?,?,?",?,FALSE
Porsche 911 Carrera RS 3.8,2435,D,青铜,301.9,72.15,71.66,35.99,315,402,60.184,213,★★★★,"30,32,40,50",152,FALSE
BMW M4 GTS,2447,C,白金,326.5,73.72,51.19,52.48,340,437,72.599,182,★★★,"25,30,50",105,FALSE
